"Distribution of the population by nationality and native language,"
"Donetska oblast (persons) by Nationality, Region, Year and Indicated as"
"a native language"

" "	" "	"2001(05.12)"	" "
" "	" "	"Ukrainian"	"Russian"
"Whole population"
" "	"DONETSK (miskrada)"	4277	410247
" "	"ARTEMIVSK (miskrada)"	1255	42133
" "	"HORLIVKA (miskrada)"	1723	123460
" "	"DEBALTSEVE (miskrada)"	304	24183
" "	"DZERZHYNSK (miskrada)"	330	36689
" "	"DYMYTROV (miskrada)"	401	23297
" "	"DOBROPILLIA (miskrada)"	738	25582
" "	"DOKUCHAIVSK (miskrada)"	202	10977
" "	"DRUZHKIVKA (miskrada)"	449	24109
" "	"YENAKIIEVE (miskrada)"	665	56366
" "	"ZHDANIVKA (miskrada)"	68	5802
" "	"KRAMATORSK (miskrada)"	1425	79675
" "	"KRASNYI LYMAN (miskrada)"	312	4676
" "	"KRASNOARMIISK (miskrada)"	593	33643
" "	"MAKIIVKA (miskrada)"	1834	155952
" "	"MARIUPOL (miskrada)"	2122	232016
" "	"SELIDOVE (miskrada)"	466	23181
" "	"SLOVIANSK (miskrada)"	1334	45461
" "	"SNIZHNE (miskrada)"	393	32346
" "	"TOREZ (miskrada)"	392	37036
" "	"KHARTSYZK (miskrada)"	663	44832
" "	"SHAKHTARSK (miskrada)"	583	28612
" "	"m. AVDIIVKA"	187	20071
" "	"m. VUHLEDAR"	155	6744
" "	"m. KIROVSKE"	149	12790
" "	"m. KOSTIANTYNIVKA"	530	38762
" "	"m. NOVOHRODIVKA"	168	6326
" "	"m. YASYNUVATA"	178	16283
" "	"AMVROSIIVSKYI RAION"	790	16927
" "	"ARTEMIVSKYI RAION"	1021	5078
" "	"VELYKONOVOSILKIVSKYI RAION"	1227	17400
" "	"VOLNOVASKYI RAION"	1414	23073
" "	"VOLODARSKYI RAION"	416	13715
" "	"DOBROPILSKYI RAION"	363	663
" "	"KOSTIANTYNIVSKYI RAION"	454	2362
" "	"KRASNOARMIISKYI RAION"	677	5835
" "	"KRASNOLYMANSKYI RAION"	389	800
" "	"MARINSKYI RAION"	1337	23080
" "	"NOVOAZOVSKYI RAION"	474	11919
" "	"OLEKSANDRIVSKYI RAION"	262	947
" "	"PERSHOTRAVNEVYI RAION"	336	14755
" "	"SLOVIANSKYI RAION"	641	2487
" "	"STAROBESHIVSKYI RAION"	349	28241
" "	"TELMANIVSKYI RAION"	809	13338
" "	"SHAKHTARSKYI RAION"	289	5804
" "	"YASYNUVATSKYI RAION"	291	9585

" "
"Conventional signs: "
"hyphen (-) - phenomenon was not observed "
"ellipsis (...) - data are not publicly available relating to of the "
"Law of Ukraine ``On State Statistics`` on confidentiality of "
"information "
"Symbol (x) - it doesn't make sense to fill out the rubric according "
"to specific features of the table "
" "
"Extra notes: "
"The list of settlements of administrative-territorial division "
"(variable Region) is presented in transliteration.  "
" "
"The English version of some transliterated Ukrainian words is "
"presented below: "
" Region = rehion / oblast  "
" City = misto (m.)  "
" Council (municipality) = rada  "
" City council = miskrada"

