"Distribution of the population by nationality and native language,"
"Odeska oblast (persons) by Nationality, Region, Year and Indicated as a"
"native language"

" "	" "	"2001(05.12)"	" "
" "	" "	"Ukrainian"	"Russian"
"Whole population"
" "	"m. ODESA"	9635	368742
" "	"m. IZMAIL"	697	26443
" "	"m. KOTOVSK"	660	6805
" "	"m. TEPLODAR"	118	1587
" "	"m. YUZHNE"	247	6124
" "	"BILHOROD-DNISTROVSKYI (miskrada)"	732	15709
" "	"ILLICHIVSK (miskrada)"	630	19428
" "	"ANANIVSKYI RAION"	748	602
" "	"ARTSYZKYI RAION"	541	10816
" "	"BALTSKYI RAION"	586	1207
" "	"BEREZIVSKYI RAION"	912	852
" "	"BILHOROD-DNISTROVSKYI RAION"	1438	3077
" "	"BILIAIVSKYI RAION"	2357	6398
" "	"BOLHRADSKYI RAION"	134	6450
" "	"VELYKOMYKHAILIVSKYI RAION"	590	494
" "	"IVANIVSKYI RAION"	900	2925
" "	"IZMAILSKYI RAION"	288	3132
" "	"KILIISKYI RAION"	512	8722
" "	"KODYMSKYI RAION"	463	348
" "	"KOMINTERNIVSKYI RAION"	1563	5737
" "	"KOTOVSKYI RAION"	841	947
" "	"KRASNOOKNIANSKYI RAION"	1171	288
" "	"LIUBASHIVSKYI RAION"	1053	243
" "	"MYKOLAIVSKYI RAION"	373	122
" "	"OVIDIOPOLSKYI RAION"	968	8096
" "	"RENIISKYI RAION"	165	9403
" "	"ROZDILNIANSKYI RAION"	1381	8812
" "	"SAVRANSKYI RAION"	298	136
" "	"SARATSKYI RAION"	591	2974
" "	"TARUTYNSKYI RAION"	334	8773
" "	"TATARBUNARSKYI RAION"	845	788
" "	"FRUNZIVSKYI RAION"	572	181
" "	"SHYRIAIVSKYI RAION"	566	316

" "
"Conventional signs: "
"hyphen (-) - phenomenon was not observed "
"ellipsis (...) - data are not publicly available relating to of the "
"Law of Ukraine ``On State Statistics`` on confidentiality of "
"information "
"Symbol (x) - it doesn't make sense to fill out the rubric according "
"to specific features of the table "
" "
"Extra notes: "
"The list of settlements of administrative-territorial division "
"(variable Region) is presented in transliteration.  "
" "
"The English version of some transliterated Ukrainian words is "
"presented below: "
" Region = rehion / oblast  "
" City = misto (m.)  "
" Council (municipality) = rada  "
" City council = miskrada"

