"Distribution of the population by nationality and native language,"
"Vinnytska oblast (persons) by Nationality, Region, Year and Indicated"
"as a native language"

" "	" "	"2001(05.12)"	" "
" "	" "	"Ukrainian"	"Russian"
"Whole population"
" "	"m. VINNYTSIA"	6474	18670
" "	"m. ZHMERYNKA"	557	877
" "	"KOZIATYN (miskrada)"	676	378
" "	"LADYZHYN (miskrada)"	279	699
" "	"MOHYLIV-PODILSKYI (miskrada)"	463	785
" "	"m. KHMILNYK"	528	127
" "	"BARSKYI RAION"	600	164
" "	"BERSHADSKYI RAION"	519	203
" "	"VINNYTSKYI RAION"	543	291
" "	"HAISYNSKYI RAION"	669	549
" "	"ZHMERYNSKYI RAION"	185	112
" "	"ILLINETSKYI RAION"	251	86
" "	"KALYNIVSKYI RAION"	517	214
" "	"KOZIATYNSKYI RAION"	945	106
" "	"KRYZHOPILSKYI RAION"	197	78
" "	"LYPOVETSKYI RAION"	210	45
" "	"LITYNSKYI RAION"	281	71
" "	"MOHYLIV-PODILSKYI RAION"	184	91
" "	"MUROVANOKURYLOVETSKYI RAION"	123	62
" "	"NEMYRIVSKYI RAION"	363	134
" "	"ORATIVSKYI RAION"	107	39
" "	"PISHCHANSKYI RAION"	207	122
" "	"POHREBYSHCHENSKYI RAION"	171	71
" "	"TEPLYTSKYI RAION"	158	54
" "	"TOMASHPILSKYI RAION"	292	198
" "	"TROSTIANETSKYI RAION"	154	175
" "	"TULCHYNSKYI RAION"	574	355
" "	"TYVRIVSKYI RAION"	579	167
" "	"KHMILNYTSKYI RAION"	276	52
" "	"CHERNIVETSKYI RAION"	63	27
" "	"CHECHELNYTSKYI RAION"	170	65
" "	"SHARHORODSKYI RAION"	269	127
" "	"YAMPILSKYI RAION"	294	143

" "
"Conventional signs: "
"hyphen (-) - phenomenon was not observed "
"ellipsis (...) - data are not publicly available relating to of the "
"Law of Ukraine ``On State Statistics`` on confidentiality of "
"information "
"Symbol (x) - it doesn't make sense to fill out the rubric according "
"to specific features of the table "
" "
"Extra notes: "
"The list of settlements of administrative-territorial division "
"(variable Region) is presented in transliteration.  "
" "
"The English version of some transliterated Ukrainian words is "
"presented below: "
" Region = rehion / oblast  "
" City = misto (m.)  "
" Council (municipality) = rada  "
" City council = miskrada"

