,,,,
Name,Ukrainian,Russian,,1
m. ODESA,9635,368742,11110,2
m. IZMAIL,697,26443,,
m. KOTOVSK,660,6805,,
m. TEPLODAR,118,1587,,
m. YUZHNE,247,6124,,
BILHOROD-DNISTROVSKYI (miskrada),732,15709,,
ILLICHIVSK (miskrada),630,19428,,
ANANIVSKYI RAION,748,602,,
ARTSYZKYI RAION,541,10816,,
BALTSKYI RAION,586,1207,,
BEREZIVSKYI RAION,912,852,,
BILHOROD-DNISTROVSKYI RAION,1438,3077,,
BILIAIVSKYI RAION,2357,6398,,
BOLHRADSKYI RAION,134,6450,,
VELYKOMYKHAILIVSKYI RAION,590,494,,
IVANIVSKYI RAION,900,2925,,
IZMAILSKYI RAION,288,3132,,
KILIISKYI RAION,512,8722,,
KODYMSKYI RAION,463,348,,
KOMINTERNIVSKYI RAION,1563,5737,,
KOTOVSKYI RAION,841,947,,
KRASNOOKNIANSKYI RAION,1171,288,,
LIUBASHIVSKYI RAION,1053,243,,
MYKOLAIVSKYI RAION,373,122,,
OVIDIOPOLSKYI RAION,968,8096,,
RENIISKYI RAION,165,9403,,
ROZDILNIANSKYI RAION,1381,8812,,
SAVRANSKYI RAION,298,136,,
SARATSKYI RAION,591,2974,,
TARUTYNSKYI RAION,334,8773,,
TATARBUNARSKYI RAION,845,788,,
FRUNZIVSKYI RAION,572,181,,
SHYRIAIVSKYI RAION,566,316,,
DNIPROPETROVSK (miskrada),11523,318510,,
DNIPRODZERZHYNSK (miskrada),2967,49682,,
ZHOVTI VODY (miskrada),989,3198,,
KRYVYI RIH (miskrada),14046,77676,,
MARHANETS (miskrada),1087,4306,,
ORDZHONIKIDZE (miskrada),869,5108,,
TERNIVKA (miskrada),267,7669,,
m. VILNOHIRSK,316,1587,,
m. NIKOPOL,2124,25300,,
m. NOVOMOSKOVSK,1165,4441,,
m. PAVLOHRAD,1518,18967,,
m. PERSHOTRAVENSK,263,6964,,
m. SYNELNYKOVE,551,2880,,
APOSTOLIVSKYI RAION,1852,2282,,
VASYLKIVSKYI RAION (DNIPROPETROVSKA OBLAST),553,356,,
VERKHNODNIPROVSKYI RAION,925,1282,,
DNIPROPETROVSKYI RAION,1385,6053,,
KRYVORIZKYI RAION,1110,538,,
KRYNYCHANSKYI RAION,667,392,,
MAHDALYNIVSKYI RAION,561,459,,
MEZHIVSKYI RAION,386,251,,
NIKOPOLSKYI RAION,994,1003,,
NOVOMOSKOVSKYI RAION,1131,3202,,
PAVLOHRADSKYI RAION,366,1439,,
PETRYKIVSKYI RAION,169,154,,
PETROPAVLIVSKYI RAION,496,407,,
POKROVSKYI RAION,730,423,,
PIATYKHATSKYI RAION,1046,711,,
SYNELNYKIVSKYI RAION,993,841,,
SOLONIANSKYI RAION,681,650,,
SOFIIVSKYI RAION,497,208,,
TOMAKIVSKYI RAION,760,504,,
TSARYCHANSKYI RAION,309,237,,
SHYROKIVSKYI RAION,837,341,,
YURIVSKYI RAION,294,242,,
