index,Name,Ukrainian,Russian
313,ALCHEVSKA,15.26,83.58
2,ALUSHTYNSKA,9.67,83.68
143,amvrosi‹vskyi,43.46,55.77
399,anan‹vskyi,78.17,5.27
705,ANDRIIVKA,5.52,93.89
704,ANDRIIVSKA,13.53,85.14
164,ANDRUSHIVSKYI,97.66,2.03
310,antratsitivska,13.93,83.7
323,ANTRATSYTIVSKYI,46.51,53.1
92,APOSTOLIVSKYI,86.64,12.57
373,ARBUZYNSKYI,88.35,8.9
8,ARMIANSK,16.9,78.52
116,artemivska,35.22,63.62
144,ARTEMIVSKYI,72.22,26.22
400,ARTSYZKYI,18.24,42.79
115,AVDIIVKA,12.51,87.17
12,BAKHCHYSARAISKYI,8.21,69.3
628,BAKHMATSKYI,97.09,2.51
676,BALAKLAVSKYI,8.64,89.29
525,BALAKLIISKYI,70.38,28.91
401,BALTSKYI,89.3,8.7
165,BARANIVSKYI,98.48,1.3
32,BARSKYI,97.4,2.36
526,BARVINKIVSKYI,91.24,7.75
259,BARYSHIVSKYI,96.45,3.02
374,BASHTANSKYI,91.37,5.51
205,berdianska,24.18,75.05
210,BERDIANSKYI,68.52,27.75
161,berdychivska,88.96,10.59
166,BERDYCHIVSKYI,98.04,1.75
191,BEREHIVSKYI,18.83,0.75
188,BEREHOVE,38.43,6.29
249,BEREZAN,92.12,7.45
375,BEREZANSKYI,88.87,8.27
501,BEREZHANSKYI,99.26,0.64
404,BEREZIVSKYI,88.03,9.04
376,BEREZNEHUVATSKYI,91.65,6.76
459,BEREZNIVSKYI,99.48,0.43
33,BERSHADSKYI,97.17,2.48
556,BERYSLAVSKYI,89.91,9.04
248,bilotserkivska,86.61,12.31
393,BILHOROD-DNISTROVSKYI,41.84,54.32
402,Bilhorod-dnistrovska,80.77,12.96
403,bilia‹vskyi,80.26,16.87
13,BILOHIRSKYI,7.92,60.43
579,BILOHIRSKYI,99.01,0.83
325,BILOKURAKYNSKYI,91.39,8.37
483,BILOPILSKYI,93.83,5.35
260,BILOTSERKIVSKYI,95.65,3.95
324,BILOVODSKYI,84.2,15.56
555,BILOZERSKYI,87.83,10.61
527,BLYZNIUKIVSKYI,92.1,6.74
629,BOBROVYTSKYI,97.88,1.75
290,BOBRYNETSKYI,96.16,2.27
528,BOHODUKHIVSKYI,93.65,5.55
234,BOHORODCHANSKYI,99.63,0.31
261,BOHUSLAVSKYI,97.60,2.22
230,BOLEKHIV,99.14,0.67
405,BOLHRADSKYI,4.87,16.32
529,BORIVSKYI,91.52,8.14
263,BORODIANSKYI,94.67,4.78
502,BORSHCHIVSKYI,99.15,0.65
342,BORYSLAV,97.55,1.94
250,BORYSPIL,88.39,11.08
262,boryspilska,95.67,3.82
630,BORZNIANSKYI,98.43,1.39
377,BRATSKYI,86.13,9.97
311,briankivska,14.0,85.68
348,BRODIVSKYI,98.27,1.56
264,BROVARSKYI,96.87,2.80
251,brovarska,86.44,12.89
167,BRUSYLIVSKYI,96.99,2.68
503,BUCHATSKYI,99.62,0.27
484,BURYNSKYI,96.87,2.53
349,BUSKYI,99.36,0.47
572,CHAPLYNSKYI,83.78,8.93
