"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,240,"UKR","Ukraine",1,"Cherkasy","Oblast'","Region",NA,"Cherkas'ka Oblast'|Cherkasskaya Oblast'|Cherkassy"
2,240,"UKR","Ukraine",2,"Chernihiv","Oblast'","Region",NA,"Chernigov|Tschernigow"
3,240,"UKR","Ukraine",3,"Chernivtsi","Oblast'","Region",NA,"Chernivets'ka Oblast'|Chernovitskaya Oblast'|Chernovtsy|Czernowitz|Tschernowzy|Tchernovtsy"
4,240,"UKR","Ukraine",4,"Crimea"," Autonomous Republic"," Autonomous Republic",NA,"Crimée|Criméia|Krim|Krymskaya Respublika|Respublika Krym"
5,240,"UKR","Ukraine",5,"Dnipropetrovs'k","Oblast'","Region",NA,"Dnipropetrovsk|Dniepropietrovsk|Dnjepropetrowsk"
6,240,"UKR","Ukraine",6,"Donets'k","Oblast'","Region",NA,"Donetsk|Donetskaya Oblast'|Donezk|Stalino"
7,240,"UKR","Ukraine",7,"Ivano-Frankivs'k","Oblast'","Region",NA,"Ivano-Frankovsk|Ivano-Frankovskaya Oblast'|Stanislav"
8,240,"UKR","Ukraine",8,"Kharkiv","Oblast'","Region",NA,"Charkow|Jarkov|Karkov|Khar'kov"
9,240,"UKR","Ukraine",9,"Kherson","Oblast'","Region",NA,"Cherson|Khersons'ka Oblast'"
10,240,"UKR","Ukraine",10,"Khmel'nyts'kyy","Oblast'","Region",NA,"Khmelnitsky|Khmelnytskyi|Chmelnizkij|Hmelnicki|Kamenets-Podol'skaya Oblast'|Khmel'nyts'ka Oblast'"
11,240,"UKR","Ukraine",11,"Kiev City","Independent City","Independent City",NA,"Kyiv"
12,240,"UKR","Ukraine",12,"Kiev","Oblast'","Region",NA,"Kiev Oblast|Kiew|Kijew|Kiiv|Kijev|Kiyev|Kyiv|Kyjiv|Kyyiv|Kyyivs'ka Oblast'"
13,240,"UKR","Ukraine",13,"Kirovohrad","Oblast'","Region",NA,"Kirovograd|Kirovogradskaya Oblast'"
14,240,"UKR","Ukraine",14,"L'viv","Oblast'","Region",NA,"Lemberg|Llvov|L'vov|Lwow|L'vivs'ka Oblast'"
15,240,"UKR","Ukraine",15,"Luhans'k","Oblast'","Region",NA,"Luhansk|Lugansk|Luhans'ka Oblast'|Voroshilovgrad"
16,240,"UKR","Ukraine",16,"Mykolayiv","Oblast'","Region",NA,"Mykolaiv|Nikolajew|Nikolayev"
17,240,"UKR","Ukraine",17,"Odessa","Oblast'","Region",NA,"Odesa|Odes'ka Oblast'|Odesskaya Oblast'"
18,240,"UKR","Ukraine",18,"Poltava","Oblast'","Region",NA,NA
19,240,"UKR","Ukraine",19,"Rivne","Oblast'","Region",NA,"Rovno|Rivnens'ka Oblast'|Rovenskaya Oblast'"
20,240,"UKR","Ukraine",20,"Sevastopol'","Autonomous Republic","Autonomous Republic",NA,"Sebastopol"
21,240,"UKR","Ukraine",21,"Sumy","Oblast'","Region",NA,NA
22,240,"UKR","Ukraine",22,"Ternopil'","Oblast'","Region",NA,"Ternopol|Ternopol'"
23,240,"UKR","Ukraine",23,"Transcarpathia","Oblast'","Region",NA,"Transcarpathian|Zakarpattia|Ruthenia|Zakarpats'ka Oblast'|Zakarpatskaya Oblast'"
24,240,"UKR","Ukraine",24,"Vinnytsya","Oblast'","Region",NA,"Vinnytsia|Vinnitskaya Oblast'|Vinnyts'ka Oblast|Winniza"
25,240,"UKR","Ukraine",25,"Volyn","Oblast'","Region",NA,"Volhynia|Volyns'ka Oblast'|Volynskaya Oblast'|Wolynien"
26,240,"UKR","Ukraine",26,"Zaporizhzhya","Oblast'","Region",NA,"Saporoshje|Zaporizhia|Zaporiz'ka Oblast'|Zaporojie|Zaporozhskaya Oblast'|Zaporozh'ye|Zaporožje"
27,240,"UKR","Ukraine",27,"Zhytomyr","Oblast'","Region",NA,"Zhitomir|Jitomir|Shitomir|Zhitomirskaya Oblast'"
