"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,240,"UKR","Ukraine",1,"Cherkasy",1,"Cherkas'ka","Mis'ka Rada","Mis'ka Rada",NA,NA
2,240,"UKR","Ukraine",1,"Cherkasy",2,"Cherkas'kyi","Raion","District",NA,NA
3,240,"UKR","Ukraine",1,"Cherkasy",3,"Chornobaivs'kyi","Raion","District",NA,"Chornobayivskyi"
4,240,"UKR","Ukraine",1,"Cherkasy",4,"Chyhyryns'kyi","Raion","District",NA,NA
5,240,"UKR","Ukraine",1,"Cherkasy",5,"Drabivs'kyi","Raion","District",NA,NA
6,240,"UKR","Ukraine",1,"Cherkasy",6,"Horodyshchens'kyi","Raion","District",NA,"Gorodyschenskyi"
7,240,"UKR","Ukraine",1,"Cherkasy",7,"Kamians'kyi","Raion","District",NA,NA
8,240,"UKR","Ukraine",1,"Cherkasy",8,"Kanivs'ka","Misto","City",NA,NA
9,240,"UKR","Ukraine",1,"Cherkasy",9,"Kanivs'kyi","Raion","District",NA,NA
10,240,"UKR","Ukraine",1,"Cherkasy",10,"Katerynopil's'kyi","Raion","District",NA,NA
11,240,"UKR","Ukraine",1,"Cherkasy",11,"Khrystynivs'kyi","Raion","District",NA,NA
12,240,"UKR","Ukraine",1,"Cherkasy",12,"Korsun'-Shevchenkivs'kyi","Raion","District",NA,"KorsunShevchenkiv"
13,240,"UKR","Ukraine",1,"Cherkasy",13,"Lysians'kyi","Raion","District",NA,NA
14,240,"UKR","Ukraine",1,"Cherkasy",14,"Man'kivs'kyi","Raion","District",NA,"Mankivskyi"
15,240,"UKR","Ukraine",1,"Cherkasy",15,"Monastyryshchens'kyi","Raion","District",NA,"Monastyryshchens'"
16,240,"UKR","Ukraine",1,"Cherkasy",16,"Shpolians'kyi","Raion","District",NA,NA
17,240,"UKR","Ukraine",1,"Cherkasy",17,"Smilians'kyi","Raion","District",NA,NA
18,240,"UKR","Ukraine",1,"Cherkasy",18,"Tal'nivs'kyi","Raion","District",NA,NA
19,240,"UKR","Ukraine",1,"Cherkasy",19,"Umans'ka","Misto","City",NA,NA
20,240,"UKR","Ukraine",1,"Cherkasy",20,"Umans'kyi","Raion","District",NA,NA
21,240,"UKR","Ukraine",1,"Cherkasy",21,"Zhashkivs'kyi","Raion","District",NA,NA
