" "	"Ukrainian"	"Russian"
"SIMFEROPOL (miskrada)"	568	68867
"ALUSHTA (miskrada)"	84	8732
"ARMIANSK (miskrada)"	108	6216
"m. DZHANKOI"	100	10085
"YEVPATORIIA (miskrada)"	207	22230
"m. KERCH"	180	20460
"m. KRASNOPEREKOPSK"	114	8936
"m. SAKY"	54	5505
"SUDAK (miskrada)"	49	3648
"FEODOSIIA (miskrada)"	144	16585
"YALTA (miskrada)"	360	30143
"BAKHCHYSARAISKYI RAION"	138	14020
"BILOHIRSKYI RAION"	98	7502
"DZHANKOISKYI RAION"	323	19145
"KIROVSKYI RAION"	66	7991
"KRASNOHVARDIISKYI RAION"	189	19573
"KRASNOPEREKOPSKYI RAION"	112	6444
"LENINSKYI RAION"	78	10945
"NYZHNOHIRSKYI RAION"	70	12743
"PERVOMAISKYI RAION"	118	9507
"ROZDOLNENSKYI RAION"	145	8567
"SAKSKYI RAION"	161	15712
"SIMFEROPOLSKYI RAION"	238	26447
"SOVIETSKYI RAION"	72	5988
"CHORNOMORSKYI RAION"	130	6299
