" "	"Ukrainian"	"Russian"
"KIROVOHRAD (miskrada)"	4543	22997
"ZNAMIANKA (miskrada)"	633	2452
"OLEKSANDRIIA (miskrada)"	2251	3675
"SVITLOVODSK (miskrada)"	1004	3918
"BOBRYNETSKYI RAION"	547	128
"VILSHANSKYI RAION"	1496	77
"HAIVORONSKYI RAION"	486	260
"HOLOVANIVSKYI RAION"	346	245
"DOBROVELYCHKIVSKYI RAION"	837	274
"DOLYNSKYI RAION"	835	349
"ZNAMIANSKYI RAION"	436	346
"KIROVOHRADSKYI RAION"	743	684
"KOMPANIIVSKYI RAION"	276	82
"MALOVYSKIVSKYI RAION"	700	1937
"NOVHORODKIVSKYI RAION"	269	88
"NOVOARKHANHELSKYI RAION"	224	109
"NOVOMYRHORODSKYI RAION"	627	138
"NOVOUKRAINSKYI RAION"	783	259
"OLEKSANDRIVSKYI RAION"	236	143
"OLEKSANDRIISKYI RAION"	717	339
"ONUFRIIVSKYI RAION"	347	234
"PETRIVSKYI RAION"	590	335
"SVITLOVODSKYI RAION"	273	255
"ULIANOVSKYI RAION"	277	110
"USTYNIVSKYI RAION"	352	71
