" "	"Ukrainian"	"Russian"
"LVIV (miskrada)"	12044	13880
"BORYSLAV (miskrada)"	636	91
"DROHOBYCH (miskrada)"	1195	429
"CHERVONOHRAD (miskrada)"	1213	627
"m. SAMBIR"	634	105
"m. STRYI"	738	356
"m. TRUSKAVETS"	286	158
"BRODIVSKYI RAION"	433	138
"BUSKYI RAION"	145	35
"HORODOTSKYI RAION"	410	57
"DROHOBYTSKYI RAION"	327	14
"ZHYDACHIVSKYI RAION"	347	46
"ZHOVKIVSKYI RAION"	383	111
"ZOLOCHIVSKYI RAION"	606	124
"KAMIANKA-BUZKYI RAION"	263	90
"MYKOLAIVSKYI RAION"	483	158
"MOSTYSKYI RAION"	908	35
"PEREMYSHLIANSKYI RAION"	149	14
"PUSTOMYTIVSKYI RAION"	638	96
"RADEKHIVSKYI RAION"	109	23
"SAMBIRSKYI RAION"	452	83
"SKOLIVSKYI RAION"	100	32
"SOKALSKYI RAION"	560	72
"STAROSAMBIRSKYI RAION"	444	30
"STRYISKYI RAION"	166	40
"TURKIVSKYI RAION"	74	12
"YAVORIVSKYI RAION"	424	170
