" "	"Ukrainian"	"Russian"
"m. MYKOLAIV"	5507	175471
"m. VOZNESENSK"	1032	1733
"m. OCHAKIV"	333	1953
"m. PERVOMAISK"	1395	4218
"m. YUZHNOUKRAINSK"	656	4280
"ARBUZYNSKYI RAION"	474	646
"BASHTANSKYI RAION"	812	795
"BEREZANSKYI RAION"	661	843
"BEREZNEHUVATSKYI RAION"	532	413
"BRATSKYI RAION"	573	512
"VESELYNIVSKYI RAION"	676	365
"VOZNESENSKYI RAION"	866	1092
"VRADIIVSKYI RAION"	470	104
"DOMANIVSKYI RAION"	449	149
"YELANETSKYI RAION"	444	185
"ZHOVTNEVYI RAION"	1038	4477
"KAZANKIVSKYI RAION"	583	1265
"KRYVOOZERSKYI RAION"	364	115
"MYKOLAIVSKYI RAION"	840	1065
"NOVOBUZKYI RAION"	753	356
"NOVOODESKYI RAION"	662	606
"OCHAKIVSKYI RAION"	406	630
"PERVOMAISKYI RAION"	743	416
"SNIHURIVSKYI RAION"	838	1413
