" "	"Ukrainian"	"Russian"
"m. RIVNE"	4153	4127
"m. DUBNO"	504	208
"m. KUZNETSOVSK"	461	938
"m. OSTROH"	371	53
"BEREZNIVSKYI RAION"	119	45
"VOLODYMYRETSKYI RAION"	101	107
"HOSHCHANSKYI RAION"	129	39
"DEMYDIVSKYI RAION"	55	19
"DUBENSKYI RAION"	168	45
"DUBROVYTSKYI RAION"	185	68
"ZARICHNENSKYI RAION"	155	18
"ZDOLBUNIVSKYI RAION"	668	173
"KORETSKYI RAION"	206	48
"KOSTOPILSKYI RAION"	471	163
"MLYNIVSKYI RAION"	177	37
"OSTROZKYI RAION"	69	26
"RIVNENSKYI RAION"	632	257
"RADYVYLIVSKYI RAION"	180	39
"ROKYTNIVSKYI RAION"	8234	67
"SARNENSKYI RAION"	533	423
