" "	"Ukrainian"	"Russian"
"m. TERNOPIL"	2575	1221
"BEREZHANSKYI RAION"	135	62
"BORSHCHIVSKYI RAION"	353	69
"BUCHATSKYI RAION"	124	13
"HUSIATYNSKYI RAION"	296	54
"ZALISHCHYTSKYI RAION"	113	14
"ZBARAZKYI RAION"	243	308
"ZBORIVSKYI RAION"	90	10
"KOZIVSKYI RAION"	71	11
"KREMENETSKYI RAION"	423	87
"LANOVETSKYI RAION"	104	39
"MONASTYRYSKYI RAION"	54	20
"PIDVOLOCHYSKYI RAION"	1791	25
"PIDHAIETSKYI RAION"	33	...
"TEREBOVLIANSKYI RAION"	303	41
"TERNOPILSKYI RAION"	218	23
"CHORTKIVSKYI RAION"	554	127
"SHUMSKYI RAION"	135	31
