" "	"Ukrainian"	"Russian"
"m. KHARKIV"	14568	471179
"m. IZIUM"	824	6528
"KUPIANSK (miskrada)"	959	6679
"LOZOVA (miskrada)"	1497	3300
"LIUBOTYN (miskrada)"	280	1341
"PERVOMAISKYI (miskrada)"	494	5338
"CHUHUIV (miskrada)"	369	10302
"BALAKLIISKYI RAION"	1414	8969
"BARVINKIVSKYI RAION"	535	625
"BLYZNIUKIVSKYI RAION"	678	262
"BOHODUKHIVSKYI RAION"	778	541
"BORIVSKYI RAION"	443	303
"VALKIVSKYI RAION"	485	409
"VELYKOBURLUTSKYI RAION"	666	1209
"VOVCHANSKYI RAION"	1272	1395
"DVORICHANSKYI RAION"	581	580
"DERHACHIVSKYI RAION"	1771	4581
"ZACHEPYLIVSKYI RAION"	347	554
"ZMIIVSKYI RAION"	1226	6593
"ZOLOCHIVSKYI RAION"	859	452
"IZIUMSKYI RAION"	414	359
"KEHYCHIVSKYI RAION"	742	231
"KOLOMATSKYI RAION"	113	67
"KRASNOHRADSKYI RAION"	924	1939
"KRASNOKUTSKYI RAION"	497	273
"KUPIANSKYI RAION"	544	680
"LOZIVSKYI RAION"	627	812
"NOVOVODOLAZKYI RAION"	505	1246
"PERVOMAISKYI RAION"	305	1952
"PECHENIZKYI RAION"	123	141
"SAKHNOVSHCHYNSKYI RAION"	648	176
"KHARKIVSKYI RAION"	2779	26405
"CHUHUIVSKYI RAION"	401	7142
"SHEVCHENKIVSKYI RAION"	549	410
