" "	"Ukrainian"	"Russian"
"m. KHMELNYTSKYI"	6779	8453
"m. KAMIANETS-PODILSKYI"	1671	2089
"m. NETISHYN"	680	863
"m. SLAVUTA"	1216	660
"m. STAROKOSTIANTYNIV"	784	638
"m. SHEPETIVKA"	1710	581
"BILOHIRSKYI RAION"	235	41
"VINKOVETSKYI RAION"	240	43
"VOLOCHYSKYI RAION"	1751	142
"HORODOTSKYI RAION"	4197	107
"DERAZHNIANSKYI RAION"	345	87
"DUNAIEVETSKYI RAION"	298	172
"IZIASLAVSKYI RAION"	1018	433
"KAMIANETS-PODILSKYI RAION"	444	178
"KRASYLIVSKYI RAION"	1378	124
"LETYCHIVSKYI RAION"	833	110
"NOVOUSHYTSKYI RAION"	200	76
"POLONSKYI RAION"	3899	129
"SLAVUTSKYI RAION"	444	73
"STAROKOSTIANTYNIVSKYI RAION"	266	67
"STAROSYNIAVSKYI RAION"	60	19
"TEOFIPOLSKYI RAION"	184	39
"KHMELNYTSKYI RAION"	1484	246
"CHEMEROVETSKYI RAION"	124	70
"SHEPETIVSKYI RAION"	780	189
"YARMOLYNETSKYI RAION"	200	129
