" "	"Ukrainian"	"Russian"
"CHERKASY (miskrada)"	4182	19255
"VATUTINE (miskrada)"	207	250
"ZOLOTONOSHA (miskrada)"	508	350
"SMILA (miskrada)"	976	1665
"m. KANIV"	379	719
"m. UMAN"	1288	1123
"HORODYSHCHENSKYI RAION"	308	139
"DRABIVSKYI RAION"	264	108
"ZHASHKIVSKYI RAION"	303	109
"ZVENYHORODSKYI RAION"	435	164
"ZOLOTONISKYI RAION"	353	235
"KAMIANSKYI RAION"	371	189
"KANIVSKYI RAION"	199	131
"KATERYNOPILSKYI RAION"	183	82
"KORSUN-SHEVCHENKIVSKYI RAION"	447	215
"LYSIANSKYI RAION"	166	65
"MANKIVSKYI RAION"	225	91
"MONASTYRYSHCHENSKYI RAION"	115	53
"SMILIANSKYI RAION"	291	147
"TALNIVSKYI RAION"	329	127
"UMANSKYI RAION"	358	249
"KHRYSTYNIVSKYI RAION"	326	158
"CHERKASKYI RAION"	613	392
"CHYHYRYNSKYI RAION"	311	234
"CHORNOBAIVSKYI RAION"	334	192
"SHPOLIANSKYI RAION"	444	160
