" "	"Ukrainian"	"Russian"
"m. CHERNIHIV"	3178	43552
"m. NIZHYN"	1116	2106
"m. PRYLUKY"	1136	987
"BAKHMATSKYI RAION"	355	247
"BOBROVYTSKYI RAION"	219	149
"BORZNIANSKYI RAION"	270	123
"VARVYNSKYI RAION"	164	102
"HORODNIANSKYI RAION"	316	1653
"ICHNIANSKYI RAION"	308	142
"KOZELETSKYI RAION"	399	799
"KOROPSKYI RAION"	186	169
"KORIUKIVSKYI RAION"	226	297
"KULYKIVSKYI RAION"	90	88
"MENSKYI RAION"	302	260
"NIZHYNSKYI RAION"	124	93
"NOVHOROD-SIVERSKYI RAION"	158	11825
"NOSIVSKYI RAION"	203	130
"PRYLUTSKYI RAION"	435	196
"RIPKYNSKYI RAION"	315	1921
"SEMENIVSKYI RAION"	168	3643
"SOSNYTSKYI RAION"	127	71
"SRIBNIANSKYI RAION"	75	43
"TALALAIVSKYI RAION"	80	102
"CHERNIHIVSKYI RAION"	407	779
"SHCHORSKYI RAION"	225	2095
