" "	"Ukrainian"	"Russian"
"m. LUTSK"	2597	2858
"NOVOVOLYNSK (miskrada)"	642	514
"m. KOVEL"	654	597
"m. VOLODYMYR-VOLYNSKYI"	398	297
"VOLODYMYR-VOLYNSKYI RAION"	118	42
"HOROKHIVSKYI RAION"	166	41
"IVANYCHIVSKYI RAION"	124	42
"KAMIN-KASHYRSKYI RAION"	79	13
"KIVERTSIVSKYI RAION"	285	109
"KOVELSKYI RAION"	174	61
"LOKACHYNSKYI RAION"	73	21
"LUTSKYI RAION"	251	91
"LIUBESHIVSKYI RAION"	65	10
"LIUBOMLSKYI RAION"	97	49
"MANEVYTSKYI RAION"	124	52
"RATNIVSKYI RAION"	131	58
"ROZHYSHCHENSKYI RAION"	206	66
"STAROVYZHIVSKYI RAION"	68	24
"TURIISKYI RAION"	81	24
"SHATSKYI RAION"	117	28
