" "	"Ukrainian"	"Russian"
"m. ZHYTOMYR"	17568	20837
"m. BERDYCHIV"	5956	3235
"m. KOROSTEN"	1908	4087
"m. NOVOHRAD-VOLYNSKYI"	3650	1858
"ANDRUSHIVSKYI RAION"	669	170
"BARANIVSKYI RAION"	5411	130
"BERDYCHIVSKYI RAION"	1502	120
"BRUSYLIVSKYI RAION"	338	155
"VOLODARSKO-VOLYNSKYI RAION"	2755	305
"YEMILCHYNSKYI RAION"	3215	146
"ZHYTOMYRSKYI RAION"	4113	1221
"KOROSTENSKYI RAION"	997	144
"KOROSTYSHIVSKYI RAION"	955	447
"LUHYNSKYI RAION"	328	54
"LIUBARSKYI RAION"	379	85
"MALYNSKYI RAION"	1390	396
"NARODYTSKYI RAION"	120	46
"NOVOHRAD-VOLYNSKYI RAION"	2328	152
"OVRUTSKYI RAION"	598	700
"OLEVSKYI RAION"	641	161
"POPILNIANSKYI RAION"	396	145
"RADOMYSHLSKYI RAION"	995	207
"ROMANIVSKYI RAION"	4039	95
"RUZHYNSKYI RAION"	439	83
"CHERVONOARMIISKYI RAION"	2569	92
"CHERNIAKHIVSKYI RAION"	487	93
"CHUDNIVSKYI RAION"	1372	177
