" "	"Ukrainian"	"Russian"
"m. UZHHOROD"	3109	3980
"m. MUKACHEVE"	2003	1904
"KHUST (miskrada)"	676	184
"BEREHOVE (miskrada)"	209	286
"BEREHIVSKYI RAION"	115	74
"VELYKOBEREZNIANSKYI RAION"	760	22
"VYNOHRADIVSKYI RAION"	1379	240
"VOLOVETSKYI RAION"	87	25
"IRSHAVSKYI RAION"	443	79
"MIZHHIRSKYI RAION"	76	13
"MUKACHIVSKYI RAION"	653	93
"PERECHYNSKYI RAION"	379	63
"RAKHIVSKYI RAION"	953	150
"SVALIAVSKYI RAION"	1744	154
"TIACHIVSKYI RAION"	727	187
"UZHHORODSKYI RAION"	764	473
"KHUSTSKYI RAION"	214	50
