
" "	"Ukrainian"	"Russian"
"ZAPORIZHZHIA (miskrada)"	9892	262885
"BERDIANSK (miskrada)"	1166	47938
"m. ENERHODAR"	630	12772
"m. MELITOPOL"	1270	63863
"m. TOKMAK"	715	5239
"BERDIANSKYI RAION"	562	4495
"VILNIANSKYI RAION"	1606	2108
"VASYLIVSKYI RAION"	1309	7165
"VELYKOBILOZERSKYI RAION"	170	113
"VESELIVSKYI RAION"	566	2551
"HULIAIPILSKYI RAION"	692	454
"ZAPORIZKYI RAION"	1378	1867
"KAMIANSKO-DNIPROVSKYI RAION"	564	7122
"KUIBYSHEVSKYI RAION"	669	538
"MELITOPOLSKYI RAION"	614	15692
"MYKHAILIVSKYI RAION"	685	3470
"NOVOMYKOLAIVSKYI RAION"	363	232
"ORIKHIVSKYI RAION"	1232	985
"POLOHIVSKYI RAION"	646	809
"PRYAZOVSKYI RAION"	401	9048
"PRYMORSKYI RAION"	421	11888
"ROZIVSKYI RAION"	526	862
"TOKMATSKYI RAION"	969	2252
"CHERNIHIVSKYI RAION"	581	359
"YAKYMIVSKYI RAION"	717	9462
