" "	"Ukrainian"	"Russian"
"IVANO-FRANKIVSK (miskrada)"	2571	2392
"BOLEKHIV (miskrada)"	146	21
"m. KALUSH"	538	154
"m. KOLOMYIA"	767	438
"YAREMCHE (miskrada)"	69	12
"BOHORODCHANSKYI RAION"	124	23
"VERKHOVYNSKYI RAION"	25	12
"HALYTSKYI RAION"	237	48
"HORODENKIVSKYI RAION"	104	20
"DOLYNSKYI RAION"	389	82
"KALUSKYI RAION"	56	15
"KOLOMYISKYI RAION"	221	51
"KOSIVSKYI RAION"	221	31
"NADVIRNIANSKYI RAION"	306	126
"ROHATYNSKYI RAION"	90	18
"ROZHNIATIVSKYI RAION"	91	26
"SNIATYNSKYI RAION"	146	33
"TYSMENYTSKYI RAION"	169	31
"TLUMATSKYI RAION"	125	15
