" "	"Ukrainian"	"Russian"
"m. BILA TSERKVA"	2783	5909
"m. BEREZAN"	308	585
"BORYSPIL (miskrada)"	685	1496
"m. BROVARY"	1457	2885
"m. VASYLKIV"	565	1371
"IRPIN (miskrada)"	1959	4060
"m. PEREIASLAV-KHMELNYTSKYI"	474	243
"m. RZHYSHCHIV"	122	83
"m. SLAVUTYCH"	323	3278
"m. FASTIV"	855	1038
"BARYSHIVSKYI RAION"	452	237
"BILOTSERKIVSKYI RAION"	354	382
"BOHUSLAVSKYI RAION"	332	140
"BORYSPILSKYI RAION"	527	366
"BORODIANSKYI RAION"	1241	557
"BROVARSKYI RAION"	587	354
"VASYLKIVSKYI RAION"	619	597
"VOLODARSKYI RAION"	163	90
"VYSHHORODSKYI RAION"	772	2339
"ZGHURIVSKYI RAION"	220	101
"IVANKIVSKYI RAION"	300	226
"KAHARLYTSKYI RAION"	340	237
"KYIEVO-SVIATOSHYNSKYI RAION"	2037	3709
"MAKARIVSKYI RAION"	595	413
"MYRONIVSKYI RAION"	395	273
"OBUKHIVSKYI RAION"	913	2622
"PEREIASLAV-KHMELNYTSKYI RAION"	317	211
"POLISKYI RAION"	130	38
"ROKYTNIANSKYI RAION"	192	108
"SKVYRSKYI RAION"	398	119
"STAVYSHCHENSKYI RAION"	163	57
"TARASHCHANSKYI RAION"	203	111
"TETIIVSKYI RAION"	227	90
"FASTIVSKYI RAION"	335	180
"YAHOTYNSKYI RAION"	489	290
