"Distribution of the population by nationality and native language,"
"Dnipropetrovska oblast (persons) by Nationality, Region, Year and"
"Indicated as a native language"

" "	" "	"2001(05.12)"	" "
" "	" "	"Ukrainian"	"Russian"
"Whole population"
" "	"DNIPROPETROVSK (miskrada)"	11523	318510
" "	"DNIPRODZERZHYNSK (miskrada)"	2967	49682
" "	"ZHOVTI VODY (miskrada)"	989	3198
" "	"KRYVYI RIH (miskrada)"	14046	77676
" "	"MARHANETS (miskrada)"	1087	4306
" "	"ORDZHONIKIDZE (miskrada)"	869	5108
" "	"TERNIVKA (miskrada)"	267	7669
" "	"m. VILNOHIRSK"	316	1587
" "	"m. NIKOPOL"	2124	25300
" "	"m. NOVOMOSKOVSK"	1165	4441
" "	"m. PAVLOHRAD"	1518	18967
" "	"m. PERSHOTRAVENSK"	263	6964
" "	"m. SYNELNYKOVE"	551	2880
" "	"APOSTOLIVSKYI RAION"	1852	2282
" "	"VASYLKIVSKYI RAION (DNIPROPETROVSKA OBLAST)"	553	356
" "	"VERKHNODNIPROVSKYI RAION"	925	1282
" "	"DNIPROPETROVSKYI RAION"	1385	6053
" "	"KRYVORIZKYI RAION"	1110	538
" "	"KRYNYCHANSKYI RAION"	667	392
" "	"MAHDALYNIVSKYI RAION"	561	459
" "	"MEZHIVSKYI RAION"	386	251
" "	"NIKOPOLSKYI RAION"	994	1003
" "	"NOVOMOSKOVSKYI RAION"	1131	3202
" "	"PAVLOHRADSKYI RAION"	366	1439
" "	"PETRYKIVSKYI RAION"	169	154
" "	"PETROPAVLIVSKYI RAION"	496	407
" "	"POKROVSKYI RAION"	730	423
" "	"PIATYKHATSKYI RAION"	1046	711
" "	"SYNELNYKIVSKYI RAION"	993	841
" "	"SOLONIANSKYI RAION"	681	650
" "	"SOFIIVSKYI RAION"	497	208
" "	"TOMAKIVSKYI RAION"	760	504
" "	"TSARYCHANSKYI RAION"	309	237
" "	"SHYROKIVSKYI RAION"	837	341
" "	"YURIVSKYI RAION"	294	242

" "
"Conventional signs: "
"hyphen (-) - phenomenon was not observed "
"ellipsis (...) - data are not publicly available relating to of the "
"Law of Ukraine ``On State Statistics`` on confidentiality of "
"information "
"Symbol (x) - it doesn't make sense to fill out the rubric according "
"to specific features of the table "
" "
"Extra notes: "
"The list of settlements of administrative-territorial division "
"(variable Region) is presented in transliteration.  "
" "
"The English version of some transliterated Ukrainian words is "
"presented below: "
" Region = rehion / oblast  "
" City = misto (m.)  "
" Council (municipality) = rada  "
" City council = miskrada"

