"Distribution of the population by nationality and native language,"
"Luhanska oblast (persons) by Nationality, Region, Year and Indicated as"
"a native language"

" "	" "	"2001(05.12)"	" "
" "	" "	"Ukrainian"	"Russian"
"Whole population"
" "	"LUHANSK (miskrada)"	2836	190974
" "	"ANTRATSYT (miskrada)"	325	34448
" "	"BRIANKA (miskrada)"	197	26581
" "	"KIROVSK (miskrada)"	221	17648
" "	"KRASNYI LUCH (miskrada)"	478	50342
" "	"KRASNODON (miskrada)"	258	32930
" "	"LYSYCHANSK (miskrada)"	1580	44700
" "	"PERVOMAISK (miskrada)"	827	24724
" "	"ROVENKY (miskrada)"	541	41277
" "	"SVERDLOVSK (miskrada)"	475	38864
" "	"SIEVERODONETSK (miskrada)"	987	42673
" "	"STAKHANOV (miskrada)"	605	37289
" "	"m. ALCHEVSK"	601	46642
" "	"m. RUBIZHNE"	425	19198
" "	"ANTRATSYTIVSKYI RAION"	338	6805
" "	"BILOVODSKYI RAION"	418	1545
" "	"BILOKURAKYNSKYI RAION"	484	388
" "	"KRASNODONSKYI RAION"	382	7109
" "	"KREMINSKYI RAION"	790	4424
" "	"LUTUHYNSKYI RAION"	969	17980
" "	"MILOVSKYI RAION"	313	1061
" "	"MARKIVSKYI RAION"	356	280
" "	"NOVOAIDARSKYI RAION"	282	3357
" "	"NOVOPSKOVSKYI RAION"	624	763
" "	"PEREVALSKYI RAION"	501	31457
" "	"POPASNIANSKYI RAION"	726	9746
" "	"SVATIVSKYI RAION"	694	648
" "	"SVERDLOVSKYI RAION"	179	2330
" "	"SLOVIANOSERBSKYI RAION"	744	17751
" "	"STANYCHNO-LUHANSKYI RAION"	252	12925
" "	"STAROBILSKYI RAION"	906	6204
" "	"TROITSKYI RAION"	481	1936

" "
"Conventional signs: "
"hyphen (-) - phenomenon was not observed "
"ellipsis (...) - data are not publicly available relating to of the "
"Law of Ukraine ``On State Statistics`` on confidentiality of "
"information "
"Symbol (x) - it doesn't make sense to fill out the rubric according "
"to specific features of the table "
" "
"Extra notes: "
"The list of settlements of administrative-territorial division "
"(variable Region) is presented in transliteration.  "
" "
"The English version of some transliterated Ukrainian words is "
"presented below: "
" Region = rehion / oblast  "
" City = misto (m.)  "
" Council (municipality) = rada  "
" City council = miskrada"

