"Distribution of the population by nationality and native language,"
"Poltavska oblast (persons) by Nationality, Region, Year and Indicated"
"as a native language"

" "	" "	"2001(05.12)"	" "
" "	" "	"Ukrainian"	"Russian"
"Whole population"
" "	"m. POLTAVA"	4979	14578
" "	"m. KREMENCHUK"	3321	23714
" "	"m. LUBNY"	848	926
" "	"m. MYRHOROD"	618	1440
" "	"KOMSOMOLSK (miskrada)"	712	4156
" "	"VELYKOBAHACHANSKYI RAION"	262	180
" "	"HADIATSKYI RAION"	544	312
" "	"HLOBYNSKYI RAION"	753	373
" "	"HREBINKIVSKYI RAION"	268	210
" "	"DYKANSKYI RAION"	288	205
" "	"ZINKIVSKYI RAION"	302	206
" "	"KARLIVSKYI RAION"	720	210
" "	"KOBELIATSKYI RAION"	680	311
" "	"KOZELSHCHYNSKYI RAION"	259	169
" "	"KOTELEVSKYI RAION"	147	123
" "	"KREMENCHUTSKYI RAION"	509	475
" "	"LOKHVYTSKYI RAION"	500	269
" "	"LUBENSKYI RAION"	310	139
" "	"MASHIVSKYI RAION"	338	199
" "	"MYRHORODSKYI RAION"	268	191
" "	"NOVOSANZHARSKYI RAION"	416	257
" "	"ORZHYTSKYI RAION"	254	109
" "	"PYRIATYNSKYI RAION"	333	380
" "	"POLTAVSKYI RAION"	922	747
" "	"RESHETYLIVSKYI RAION"	323	184
" "	"SEMENIVSKYI RAION"	264	107
" "	"KHOROLSKYI RAION"	359	226
" "	"CHORNUKHYNSKYI RAION"	81	58
" "	"CHUTIVSKYI RAION"	385	182
" "	"SHYSHATSKYI RAION"	250	111

" "
"Conventional signs: "
"hyphen (-) - phenomenon was not observed "
"ellipsis (...) - data are not publicly available relating to of the "
"Law of Ukraine ``On State Statistics`` on confidentiality of "
"information "
"Symbol (x) - it doesn't make sense to fill out the rubric according "
"to specific features of the table "
" "
"Extra notes: "
"The list of settlements of administrative-territorial division "
"(variable Region) is presented in transliteration.  "
" "
"The English version of some transliterated Ukrainian words is "
"presented below: "
" Region = rehion / oblast  "
" City = misto (m.)  "
" Council (municipality) = rada  "
" City council = miskrada"

