Name ,Ukrainian,Russian
SIMFEROPOL (miskrada),568.0,68867
ALUSHTA (miskrada),84.0,8732
ARMIANSK (miskrada),108.0,6216
m. DZHANKOI,100.0,10085
YEVPATORIIA (miskrada),207.0,22230
m. KERCH,180.0,20460
m. KRASNOPEREKOPSK,114.0,8936
m. SAKY,54.0,5505
SUDAK (miskrada),49.0,3648
FEODOSIIA (miskrada),144.0,16585
YALTA (miskrada),360.0,30143
BAKHCHYSARAISKYI RAION,138.0,14020
BILOHIRSKYI RAION,98.0,7502
DZHANKOISKYI RAION,323.0,19145
KIROVSKYI RAION,66.0,7991
KRASNOHVARDIISKYI RAION,189.0,19573
KRASNOPEREKOPSKYI RAION,112.0,6444
LENINSKYI RAION,78.0,10945
NYZHNOHIRSKYI RAION,70.0,12743
PERVOMAISKYI RAION,118.0,9507
ROZDOLNENSKYI RAION,145.0,8567
SAKSKYI RAION,161.0,15712
SIMFEROPOLSKYI RAION,238.0,26447
SOVIETSKYI RAION,72.0,5988
CHORNOMORSKYI RAION,130.0,6299
m. VINNYTSIA,6474.0,18670
m. ZHMERYNKA,557.0,877
KOZIATYN (miskrada),676.0,378
LADYZHYN (miskrada),279.0,699
MOHYLIV-PODILSKYI (miskrada),463.0,785
m. KHMILNYK,528.0,127
BARSKYI RAION,600.0,164
BERSHADSKYI RAION,519.0,203
VINNYTSKYI RAION,543.0,291
HAISYNSKYI RAION,669.0,549
ZHMERYNSKYI RAION,185.0,112
ILLINETSKYI RAION,251.0,86
KALYNIVSKYI RAION,517.0,214
KOZIATYNSKYI RAION,945.0,106
KRYZHOPILSKYI RAION,197.0,78
LYPOVETSKYI RAION,210.0,45
LITYNSKYI RAION,281.0,71
MOHYLIV-PODILSKYI RAION,184.0,91
MUROVANOKURYLOVETSKYI RAION,123.0,62
NEMYRIVSKYI RAION,363.0,134
ORATIVSKYI RAION,107.0,39
PISHCHANSKYI RAION,207.0,122
POHREBYSHCHENSKYI RAION,171.0,71
TEPLYTSKYI RAION,158.0,54
TOMASHPILSKYI RAION,292.0,198
TROSTIANETSKYI RAION,154.0,175
TULCHYNSKYI RAION,574.0,355
TYVRIVSKYI RAION,579.0,167
KHMILNYTSKYI RAION,276.0,52
CHERNIVETSKYI RAION,63.0,27
CHECHELNYTSKYI RAION,170.0,65
SHARHORODSKYI RAION,269.0,127
YAMPILSKYI RAION,294.0,143
m. LUTSK,2597.0,2858
NOVOVOLYNSK (miskrada),642.0,514
m. KOVEL,654.0,597
m. VOLODYMYR-VOLYNSKYI,398.0,297
VOLODYMYR-VOLYNSKYI RAION,118.0,42
HOROKHIVSKYI RAION,166.0,41
IVANYCHIVSKYI RAION,124.0,42
KAMIN-KASHYRSKYI RAION,79.0,13
KIVERTSIVSKYI RAION,285.0,109
KOVELSKYI RAION,174.0,61
LOKACHYNSKYI RAION,73.0,21
LUTSKYI RAION,251.0,91
LIUBESHIVSKYI RAION,65.0,10
LIUBOMLSKYI RAION,97.0,49
MANEVYTSKYI RAION,124.0,52
RATNIVSKYI RAION,131.0,58
ROZHYSHCHENSKYI RAION,206.0,66
STAROVYZHIVSKYI RAION,68.0,24
TURIISKYI RAION,81.0,24
SHATSKYI RAION,117.0,28
DNIPROPETROVSK (miskrada),11523.0,318510
DNIPRODZERZHYNSK (miskrada),2967.0,49682
ZHOVTI VODY (miskrada),989.0,3198
KRYVYI RIH (miskrada),14046.0,77676
MARHANETS (miskrada),1087.0,4306
ORDZHONIKIDZE (miskrada),869.0,5108
TERNIVKA (miskrada),267.0,7669
m. VILNOHIRSK,316.0,1587
m. NIKOPOL,2124.0,25300
m. NOVOMOSKOVSK,1165.0,4441
m. PAVLOHRAD,1518.0,18967
m. PERSHOTRAVENSK,263.0,6964
m. SYNELNYKOVE,551.0,2880
APOSTOLIVSKYI RAION,1852.0,2282
VASYLKIVSKYI RAION (DNIPROPETROVSKA OBLAST),553.0,356
VERKHNODNIPROVSKYI RAION,925.0,1282
DNIPROPETROVSKYI RAION,1385.0,6053
KRYVORIZKYI RAION,1110.0,538
KRYNYCHANSKYI RAION,667.0,392
MAHDALYNIVSKYI RAION,561.0,459
MEZHIVSKYI RAION,386.0,251
NIKOPOLSKYI RAION,994.0,1003
NOVOMOSKOVSKYI RAION,1131.0,3202
PAVLOHRADSKYI RAION,366.0,1439
PETRYKIVSKYI RAION,169.0,154
PETROPAVLIVSKYI RAION,496.0,407
POKROVSKYI RAION,730.0,423
PIATYKHATSKYI RAION,1046.0,711
SYNELNYKIVSKYI RAION,993.0,841
SOLONIANSKYI RAION,681.0,650
SOFIIVSKYI RAION,497.0,208
TOMAKIVSKYI RAION,760.0,504
TSARYCHANSKYI RAION,309.0,237
SHYROKIVSKYI RAION,837.0,341
YURIVSKYI RAION,294.0,242
DONETSK (miskrada),4277.0,410247
ARTEMIVSK (miskrada),1255.0,42133
HORLIVKA (miskrada),1723.0,123460
DEBALTSEVE (miskrada),304.0,24183
DZERZHYNSK (miskrada),330.0,36689
DYMYTROV (miskrada),401.0,23297
DOBROPILLIA (miskrada),738.0,25582
DOKUCHAIVSK (miskrada),202.0,10977
DRUZHKIVKA (miskrada),449.0,24109
YENAKIIEVE (miskrada),665.0,56366
ZHDANIVKA (miskrada),68.0,5802
KRAMATORSK (miskrada),1425.0,79675
KRASNYI LYMAN (miskrada),312.0,4676
KRASNOARMIISK (miskrada),593.0,33643
MAKIIVKA (miskrada),1834.0,155952
MARIUPOL (miskrada),2122.0,232016
SELIDOVE (miskrada),466.0,23181
SLOVIANSK (miskrada),1334.0,45461
SNIZHNE (miskrada),393.0,32346
TOREZ (miskrada),392.0,37036
KHARTSYZK (miskrada),663.0,44832
SHAKHTARSK (miskrada),583.0,28612
m. AVDIIVKA,187.0,20071
m. VUHLEDAR,155.0,6744
m. KIROVSKE,149.0,12790
m. KOSTIANTYNIVKA,530.0,38762
m. NOVOHRODIVKA,168.0,6326
m. YASYNUVATA,178.0,16283
AMVROSIIVSKYI RAION,790.0,16927
ARTEMIVSKYI RAION,1021.0,5078
VELYKONOVOSILKIVSKYI RAION,1227.0,17400
VOLNOVASKYI RAION,1414.0,23073
VOLODARSKYI RAION,416.0,13715
DOBROPILSKYI RAION,363.0,663
KOSTIANTYNIVSKYI RAION,454.0,2362
KRASNOARMIISKYI RAION,677.0,5835
KRASNOLYMANSKYI RAION,389.0,800
