"Distribution of the population by native language, Sevastopol"
"(miskrada) (in % to the total population) by Region, Year and Indicated"
"as a native language"

" "	"2001(05.12)"	" "
" "	"Ukrainian"	"Russian"
"SEVASTOPOL (miskrada)"	6.76	90.56
" m. SEVASTOPOL"	6.48	91.41
"BALAKLAVSKYI raion, m. SEVASTOPOL"	8.64	89.29
"HAHARINSKYI raion, m. SEVASTOPOL"	6.27	91.56
"LENINSKYI raion, m. SEVASTOPOL"	5.95	91.52
"NAKHIMOVSKYI raion, m. SEVASTOPOL"	6.80	91.70
" m. INKERMAN"	5.23	91.17
" smt KACHA"	5.14	94.04
" s. VYSHNEVE"	6.58	74.84
" s. ORLIVKA"	15.15	76.09
" s. OSYPENKO"	12.35	83.88
" s. POLIUSHKO"	13.35	53.42
"ORLYNIVSKA silrada"	12.42	74.71
" s. ORLYNE"	7.74	75.35
" s. HONCHARNE"	26.09	62.42
" s. KYZYLOVE"	15.15	84.85
" s. KOLKHOZNE"	-	88.89
" s. NOVOBOBRIVSKE"	12.50	65.54
" s. OZERNE"	1.66	98.34
" s. PAVLIVKA"	17.56	77.52
" s. PEREDOVE"	17.22	69.61
" s. PIDHIRNE"	1.61	82.26
" s. REZERVNE"	19.40	78.36
" s. RODNYKIVSKE"	6.41	79.03
" s. ROZSOSHANKA"	1.64	95.90
" s. TYLOVE"	9.97	81.44
" s. SHYROKE"	16.51	69.50
"TERNIVSKA silrada"	13.94	68.91
" s. TERNIVKA"	13.39	73.62
" s. RIDNE"	15.37	56.64
"ANDRIIVSKA silrada"	13.53	85.14
" s. ANDRIIVKA"	5.52	93.89
" s-shche SONIACHNYI"	21.20	76.77
"VERKHNOSADIVSKA silrada"	10.52	81.43
" s. VERKHNOSADOVE"	9.48	83.54
" s. DALNIE"	15.67	83.37
" s. KAMYSHLY"	16.67	50.00
" s. PYROHOVKA"	6.34	89.43
" s. POVOROTNE"	14.22	71.55
" s. FRONTOVE"	11.95	70.68
" s. FRUKTOVE"	8.08	91.73

" "
"Conventional signs: "
"hyphen (-) - phenomenon was not observed "
"zero (0.00) - the phenomenon took place but in lower values than can "
"be expressed with used digital number orders "
" "
"Extra notes: "
"The list of settlements of administrative-territorial division "
"(variable Region) is presented in transliteration.  "
" "
"The English version of some transliterated Ukrainian words is "
"presented below: "
" Region = rehion / oblast  "
" District = raion  "
" UTS (urban type settlements) = SMT (selyshche miskoho typu)  "
" City = misto (m.)  "
" Council (municipality) = rada  "
" City council = miskrada  "
" Village = selo (s.)  "
" Village council = silrada  "
" Hamlet = selyshche (s-shche)"

