"Distribution of the population by nationality and native language,"
"Luhanska oblast (persons) by Nationality, Region, Year and Indicated as"
"a native language"

" "	" "	"2001(05.12)"
" "	" "	"Whole population"
"Whole population"
" "	"LUHANSK (miskrada)"	499252
" "	"ANTRATSYT (miskrada)"	90416
" "	"BRIANKA (miskrada)"	61449
" "	"KIROVSK (miskrada)"	44948
" "	"KRASNYI LUCH (miskrada)"	145199
" "	"KRASNODON (miskrada)"	117730
" "	"LYSYCHANSK (miskrada)"	133140
" "	"PERVOMAISK (miskrada)"	80713
" "	"ROVENKY (miskrada)"	91558
" "	"SVERDLOVSK (miskrada)"	110107
" "	"SIEVERODONETSK (miskrada)"	130047
" "	"STAKHANOV (miskrada)"	108417
" "	"m. ALCHEVSK"	118611
" "	"m. RUBIZHNE"	65564
" "	"ANTRATSYTIVSKYI RAION"	37451
" "	"BILOVODSKYI RAION"	27584
" "	"BILOKURAKYNSKYI RAION"	23918
" "	"KRASNODONSKYI RAION"	32848
" "	"KREMINSKYI RAION"	51691
" "	"LUTUHYNSKYI RAION"	74106
" "	"MILOVSKYI RAION"	17411
" "	"MARKIVSKYI RAION"	18987
" "	"NOVOAIDARSKYI RAION"	28574
" "	"NOVOPSKOVSKYI RAION"	38299
" "	"PEREVALSKYI RAION"	86631
" "	"POPASNIANSKYI RAION"	50533
" "	"SVATIVSKYI RAION"	42587
" "	"SVERDLOVSKYI RAION"	14227
" "	"SLOVIANOSERBSKYI RAION"	61834
" "	"STANYCHNO-LUHANSKYI RAION"	53038
" "	"STAROBILSKYI RAION"	57620
" "	"TROITSKYI RAION"	25701

" "
"Conventional signs: "
"hyphen (-) - phenomenon was not observed "
"ellipsis (...) - data are not publicly available relating to of the "
"Law of Ukraine ``On State Statistics`` on confidentiality of "
"information "
"Symbol (x) - it doesn't make sense to fill out the rubric according "
"to specific features of the table "
" "
"Extra notes: "
"The list of settlements of administrative-territorial division "
"(variable Region) is presented in transliteration.  "
" "
"The English version of some transliterated Ukrainian words is "
"presented below: "
" Region = rehion / oblast  "
" City = misto (m.)  "
" Council (municipality) = rada  "
" City council = miskrada"

