"Distribution of the population by nationality and native language,"
"Odeska oblast (persons) by Nationality, Region, Year and Indicated as a"
"native language"

" "	" "	"2001(05.12)"
" "	" "	"Whole population"
"Whole population"
" "	"m. ODESA"	1010298
" "	"m. IZMAIL"	85098
" "	"m. KOTOVSK"	40664
" "	"m. TEPLODAR"	9036
" "	"m. YUZHNE"	24167
" "	"BILHOROD-DNISTROVSKYI (miskrada)"	57550
" "	"ILLICHIVSK (miskrada)"	63530
" "	"ANANIVSKYI RAION"	32537
" "	"ARTSYZKYI RAION"	51742
" "	"BALTSKYI RAION"	48604
" "	"BEREZIVSKYI RAION"	36046
" "	"BILHOROD-DNISTROVSKYI RAION"	62326
" "	"BILIAIVSKYI RAION"	104723
" "	"BOLHRADSKYI RAION"	74951
" "	"VELYKOMYKHAILIVSKYI RAION"	32687
" "	"IVANIVSKYI RAION"	29658
" "	"IZMAILSKYI RAION"	54692
" "	"KILIISKYI RAION"	59837
" "	"KODYMSKYI RAION"	34788
" "	"KOMINTERNIVSKYI RAION"	67214
" "	"KOTOVSKYI RAION"	30981
" "	"KRASNOOKNIANSKYI RAION"	22879
" "	"LIUBASHIVSKYI RAION"	33629
" "	"MYKOLAIVSKYI RAION"	20153
" "	"OVIDIOPOLSKYI RAION"	60308
" "	"RENIISKYI RAION"	40680
" "	"ROZDILNIANSKYI RAION"	56897
" "	"SAVRANSKYI RAION"	22367
" "	"SARATSKYI RAION"	49907
" "	"TARUTYNSKYI RAION"	45169
" "	"TATARBUNARSKYI RAION"	41710
" "	"FRUNZIVSKYI RAION"	21029
" "	"SHYRIAIVSKYI RAION"	29809

" "
"Conventional signs: "
"hyphen (-) - phenomenon was not observed "
"ellipsis (...) - data are not publicly available relating to of the "
"Law of Ukraine ``On State Statistics`` on confidentiality of "
"information "
"Symbol (x) - it doesn't make sense to fill out the rubric according "
"to specific features of the table "
" "
"Extra notes: "
"The list of settlements of administrative-territorial division "
"(variable Region) is presented in transliteration.  "
" "
"The English version of some transliterated Ukrainian words is "
"presented below: "
" Region = rehion / oblast  "
" City = misto (m.)  "
" Council (municipality) = rada  "
" City council = miskrada"

