"Distribution of the population by nationality and native language,"
"Poltavska oblast (persons) by Nationality, Region, Year and Indicated"
"as a native language"

" "	" "	"2001(05.12)"
" "	" "	"Whole population"
"Whole population"
" "	"m. POLTAVA"	310755
" "	"m. KREMENCHUK"	232960
" "	"m. LUBNY"	52218
" "	"m. MYRHOROD"	41275
" "	"KOMSOMOLSK (miskrada)"	54585
" "	"VELYKOBAHACHANSKYI RAION"	30064
" "	"HADIATSKYI RAION"	63679
" "	"HLOBYNSKYI RAION"	58678
" "	"HREBINKIVSKYI RAION"	26263
" "	"DYKANSKYI RAION"	22002
" "	"ZINKIVSKYI RAION"	42196
" "	"KARLIVSKYI RAION"	41572
" "	"KOBELIATSKYI RAION"	54144
" "	"KOZELSHCHYNSKYI RAION"	24954
" "	"KOTELEVSKYI RAION"	21614
" "	"KREMENCHUTSKYI RAION"	43975
" "	"LOKHVYTSKYI RAION"	51495
" "	"LUBENSKYI RAION"	40128
" "	"MASHIVSKYI RAION"	22947
" "	"MYRHORODSKYI RAION"	41148
" "	"NOVOSANZHARSKYI RAION"	39983
" "	"ORZHYTSKYI RAION"	29620
" "	"PYRIATYNSKYI RAION"	36499
" "	"POLTAVSKYI RAION"	66704
" "	"RESHETYLIVSKYI RAION"	29702
" "	"SEMENIVSKYI RAION"	32667
" "	"KHOROLSKYI RAION"	42105
" "	"CHORNUKHYNSKYI RAION"	16275
" "	"CHUTIVSKYI RAION"	26960
" "	"SHYSHATSKYI RAION"	24040

" "
"Conventional signs: "
"hyphen (-) - phenomenon was not observed "
"ellipsis (...) - data are not publicly available relating to of the "
"Law of Ukraine ``On State Statistics`` on confidentiality of "
"information "
"Symbol (x) - it doesn't make sense to fill out the rubric according "
"to specific features of the table "
" "
"Extra notes: "
"The list of settlements of administrative-territorial division "
"(variable Region) is presented in transliteration.  "
" "
"The English version of some transliterated Ukrainian words is "
"presented below: "
" Region = rehion / oblast  "
" City = misto (m.)  "
" Council (municipality) = rada  "
" City council = miskrada"

