"Distribution of the population by nationality and native language,"
"Vinnytska oblast (persons) by Nationality, Region, Year and Indicated"
"as a native language"

" "	" "	"2001(05.12)"
" "	" "	"Whole population"
"Whole population"
" "	"m. VINNYTSIA"	354639
" "	"m. ZHMERYNKA"	37073
" "	"KOZIATYN (miskrada)"	27155
" "	"LADYZHYN (miskrada)"	23419
" "	"MOHYLIV-PODILSKYI (miskrada)"	32513
" "	"m. KHMILNYK"	25181
" "	"BARSKYI RAION"	62239
" "	"BERSHADSKYI RAION"	71310
" "	"VINNYTSKYI RAION"	73430
" "	"HAISYNSKYI RAION"	64732
" "	"ZHMERYNSKYI RAION"	44136
" "	"ILLINETSKYI RAION"	42519
" "	"KALYNIVSKYI RAION"	64936
" "	"KOZIATYNSKYI RAION"	47788
" "	"KRYZHOPILSKYI RAION"	40870
" "	"LYPOVETSKYI RAION"	44194
" "	"LITYNSKYI RAION"	42252
" "	"MOHYLIV-PODILSKYI RAION"	40206
" "	"MUROVANOKURYLOVETSKYI RAION"	32791
" "	"NEMYRIVSKYI RAION"	58873
" "	"ORATIVSKYI RAION"	27314
" "	"PISHCHANSKYI RAION"	25127
" "	"POHREBYSHCHENSKYI RAION"	37704
" "	"TEPLYTSKYI RAION"	35258
" "	"TOMASHPILSKYI RAION"	40608
" "	"TROSTIANETSKYI RAION"	42530
" "	"TULCHYNSKYI RAION"	64927
" "	"TYVRIVSKYI RAION"	47805
" "	"KHMILNYTSKYI RAION"	44110
" "	"CHERNIVETSKYI RAION"	28660
" "	"CHECHELNYTSKYI RAION"	27209
" "	"SHARHORODSKYI RAION"	64767
" "	"YAMPILSKYI RAION"	47669

" "
"Conventional signs: "
"hyphen (-) - phenomenon was not observed "
"ellipsis (...) - data are not publicly available relating to of the "
"Law of Ukraine ``On State Statistics`` on confidentiality of "
"information "
"Symbol (x) - it doesn't make sense to fill out the rubric according "
"to specific features of the table "
" "
"Extra notes: "
"The list of settlements of administrative-territorial division "
"(variable Region) is presented in transliteration.  "
" "
"The English version of some transliterated Ukrainian words is "
"presented below: "
" Region = rehion / oblast  "
" City = misto (m.)  "
" Council (municipality) = rada  "
" City council = miskrada"

