"Distribution of the population by nationality and native language,"
"Dnipropetrovska oblast (persons) by Nationality, Region, Year and"
"Indicated as a native language"

" "	" "	"2001(05.12)"
" "	" "	"Whole population"
"Whole population"
" "	"DNIPROPETROVSK (miskrada)"	1069801
" "	"DNIPRODZERZHYNSK (miskrada)"	261735
" "	"ZHOVTI VODY (miskrada)"	57329
" "	"KRYVYI RIH (miskrada)"	710412
" "	"MARHANETS (miskrada)"	50443
" "	"ORDZHONIKIDZE (miskrada)"	46654
" "	"TERNIVKA (miskrada)"	29473
" "	"m. VILNOHIRSK"	24080
" "	"m. NIKOPOL"	138218
" "	"m. NOVOMOSKOVSK"	71860
" "	"m. PAVLOHRAD"	119672
" "	"m. PERSHOTRAVENSK"	29374
" "	"m. SYNELNYKOVE"	32292
" "	"APOSTOLIVSKYI RAION"	64242
" "	"VASYLKIVSKYI RAION (DNIPROPETROVSKA OBLAST)"	37340
" "	"VERKHNODNIPROVSKYI RAION"	56932
" "	"DNIPROPETROVSKYI RAION"	78904
" "	"KRYVORIZKYI RAION"	43759
" "	"KRYNYCHANSKYI RAION"	40330
" "	"MAHDALYNIVSKYI RAION"	37606
" "	"MEZHIVSKYI RAION"	28529
" "	"NIKOPOLSKYI RAION"	44716
" "	"NOVOMOSKOVSKYI RAION"	75828
" "	"PAVLOHRADSKYI RAION"	32906
" "	"PETRYKIVSKYI RAION"	25994
" "	"PETROPAVLIVSKYI RAION"	35403
" "	"POKROVSKYI RAION"	41864
" "	"PIATYKHATSKYI RAION"	53275
" "	"SYNELNYKIVSKYI RAION"	41674
" "	"SOLONIANSKYI RAION"	42500
" "	"SOFIIVSKYI RAION"	28541
" "	"TOMAKIVSKYI RAION"	31629
" "	"TSARYCHANSKYI RAION"	30775
" "	"SHYROKIVSKYI RAION"	31361
" "	"YURIVSKYI RAION"	15773

" "
"Conventional signs: "
"hyphen (-) - phenomenon was not observed "
"ellipsis (...) - data are not publicly available relating to of the "
"Law of Ukraine ``On State Statistics`` on confidentiality of "
"information "
"Symbol (x) - it doesn't make sense to fill out the rubric according "
"to specific features of the table "
" "
"Extra notes: "
"The list of settlements of administrative-territorial division "
"(variable Region) is presented in transliteration.  "
" "
"The English version of some transliterated Ukrainian words is "
"presented below: "
" Region = rehion / oblast  "
" City = misto (m.)  "
" Council (municipality) = rada  "
" City council = miskrada"

