"Distribution of the population by nationality and native language,"
"Donetska oblast (persons) by Nationality, Region, Year and Indicated as"
"a native language"

" "	" "	"2001(05.12)"
" "	" "	"Whole population"
"Whole population"
" "	"DONETSK (miskrada)"	1024678
" "	"ARTEMIVSK (miskrada)"	113785
" "	"HORLIVKA (miskrada)"	312284
" "	"DEBALTSEVE (miskrada)"	53412
" "	"DZERZHYNSK (miskrada)"	86281
" "	"DYMYTROV (miskrada)"	56702
" "	"DOBROPILLIA (miskrada)"	72817
" "	"DOKUCHAIVSK (miskrada)"	25024
" "	"DRUZHKIVKA (miskrada)"	75006
" "	"YENAKIIEVE (miskrada)"	162778
" "	"ZHDANIVKA (miskrada)"	14375
" "	"KRAMATORSK (miskrada)"	215729
" "	"KRASNYI LYMAN (miskrada)"	28996
" "	"KRASNOARMIISK (miskrada)"	82830
" "	"MAKIIVKA (miskrada)"	431023
" "	"MARIUPOL (miskrada)"	510835
" "	"SELIDOVE (miskrada)"	62819
" "	"SLOVIANSK (miskrada)"	142873
" "	"SNIZHNE (miskrada)"	83046
" "	"TOREZ (miskrada)"	96026
" "	"KHARTSYZK (miskrada)"	113685
" "	"SHAKHTARSK (miskrada)"	72711
" "	"m. AVDIIVKA"	37237
" "	"m. VUHLEDAR"	17518
" "	"m. KIROVSKE"	31041
" "	"m. KOSTIANTYNIVKA"	94886
" "	"m. NOVOHRODIVKA"	17559
" "	"m. YASYNUVATA"	36903
" "	"AMVROSIIVSKYI RAION"	54939
" "	"ARTEMIVSKYI RAION"	54065
" "	"VELYKONOVOSILKIVSKYI RAION"	49323
" "	"VOLNOVASKYI RAION"	92489
" "	"VOLODARSKYI RAION"	31168
" "	"DOBROPILSKYI RAION"	20659
" "	"KOSTIANTYNIVSKYI RAION"	21132
" "	"KRASNOARMIISKYI RAION"	37567
" "	"KRASNOLYMANSKYI RAION"	24974
" "	"MARINSKYI RAION"	90045
" "	"NOVOAZOVSKYI RAION"	38902
" "	"OLEKSANDRIVSKYI RAION"	23036
" "	"PERSHOTRAVNEVYI RAION"	29312
" "	"SLOVIANSKYI RAION"	39188
" "	"STAROBESHIVSKYI RAION"	55952
" "	"TELMANIVSKYI RAION"	35365
" "	"SHAKHTARSKYI RAION"	24262
" "	"YASYNUVATSKYI RAION"	30326

" "
"Conventional signs: "
"hyphen (-) - phenomenon was not observed "
"ellipsis (...) - data are not publicly available relating to of the "
"Law of Ukraine ``On State Statistics`` on confidentiality of "
"information "
"Symbol (x) - it doesn't make sense to fill out the rubric according "
"to specific features of the table "
" "
"Extra notes: "
"The list of settlements of administrative-territorial division "
"(variable Region) is presented in transliteration.  "
" "
"The English version of some transliterated Ukrainian words is "
"presented below: "
" Region = rehion / oblast  "
" City = misto (m.)  "
" Council (municipality) = rada  "
" City council = miskrada"

