 , .1,Whole population
 ,SIMFEROPOL (miskrada),358108.0
 ,ALUSHTA (miskrada),52215.0
 ,ARMIANSK (miskrada),26867.0
 ,m. DZHANKOI,42861.0
 ,YEVPATORIIA (miskrada),117565.0
 ,m. KERCH,158165.0
 ,m. KRASNOPEREKOPSK,30902.0
 ,m. SAKY,28522.0
 ,SUDAK (miskrada),29448.0
 ,FEODOSIIA (miskrada),108788.0
 ,YALTA (miskrada),139584.0
 ,BAKHCHYSARAISKYI RAION,92542.0
 ,BILOHIRSKYI RAION,66458.0
 ,DZHANKOISKYI RAION,82328.0
 ,KIROVSKYI RAION,58016.0
 ,KRASNOHVARDIISKYI RAION,93782.0
 ,KRASNOPEREKOPSKYI RAION,31843.0
 ,LENINSKYI RAION,69629.0
 ,NYZHNOHIRSKYI RAION,56976.0
 ,PERVOMAISKYI RAION,40367.0
 ,ROZDOLNENSKYI RAION,37185.0
 ,SAKSKYI RAION,80964.0
 ,SIMFEROPOLSKYI RAION,149253.0
 ,SOVIETSKYI RAION,37576.0
 ,CHORNOMORSKYI RAION,34112.0
 ,m. VINNYTSIA,354639.0
 ,m. ZHMERYNKA,37073.0
 ,KOZIATYN (miskrada),27155.0
 ,LADYZHYN (miskrada),23419.0
 ,MOHYLIV-PODILSKYI (miskrada),32513.0
 ,m. KHMILNYK,25181.0
 ,BARSKYI RAION,62239.0
 ,BERSHADSKYI RAION,71310.0
 ,VINNYTSKYI RAION,73430.0
 ,HAISYNSKYI RAION,64732.0
 ,ZHMERYNSKYI RAION,44136.0
 ,ILLINETSKYI RAION,42519.0
 ,KALYNIVSKYI RAION,64936.0
 ,KOZIATYNSKYI RAION,47788.0
 ,KRYZHOPILSKYI RAION,40870.0
 ,LYPOVETSKYI RAION,44194.0
 ,LITYNSKYI RAION,42252.0
 ,MOHYLIV-PODILSKYI RAION,40206.0
 ,MUROVANOKURYLOVETSKYI RAION,32791.0
 ,NEMYRIVSKYI RAION,58873.0
 ,ORATIVSKYI RAION,27314.0
 ,PISHCHANSKYI RAION,25127.0
 ,POHREBYSHCHENSKYI RAION,37704.0
 ,TEPLYTSKYI RAION,35258.0
 ,TOMASHPILSKYI RAION,40608.0
 ,TROSTIANETSKYI RAION,42530.0
 ,TULCHYNSKYI RAION,64927.0
 ,TYVRIVSKYI RAION,47805.0
 ,KHMILNYTSKYI RAION,44110.0
 ,CHERNIVETSKYI RAION,28660.0
