"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,240,"UKR","Ukraine",1,"Cherkasy",1,"Cherkas'ka","UA.CK.CM",NA,"","Mis'ka Rada","Mis'ka Rada","",""
2,240,"UKR","Ukraine",1,"Cherkasy",2,"Cherkas'kyi","UA.CK.CR",NA,"","Raion","District","",""
3,240,"UKR","Ukraine",1,"Cherkasy",3,"Chornobaivs'kyi","UA.CK.CB",NA,"","Raion","District","","Chornobayivskyi"
4,240,"UKR","Ukraine",1,"Cherkasy",4,"Chyhyryns'kyi","UA.CK.CY",NA,"","Raion","District","",""
5,240,"UKR","Ukraine",1,"Cherkasy",5,"Drabivs'kyi","UA.CK.DR",NA,"","Raion","District","",""
6,240,"UKR","Ukraine",1,"Cherkasy",6,"Horodyshchens'kyi","UA.CK.HO",NA,"","Raion","District","","Gorodyschenskyi"
7,240,"UKR","Ukraine",1,"Cherkasy",7,"Kamians'kyi","UA.CK.KN",NA,"","Raion","District","",""
8,240,"UKR","Ukraine",1,"Cherkasy",8,"Kanivs'ka","UA.CK.KM",NA,"","Misto","City","",""
9,240,"UKR","Ukraine",1,"Cherkasy",9,"Kanivs'kyi","UA.CK.KR",NA,"","Raion","District","",""
10,240,"UKR","Ukraine",1,"Cherkasy",10,"Katerynopil's'kyi","UA.CK.KT",NA,"","Raion","District","",""
11,240,"UKR","Ukraine",1,"Cherkasy",11,"Khrystynivs'kyi","UA.CK.KH",NA,"","Raion","District","",""
12,240,"UKR","Ukraine",1,"Cherkasy",12,"Korsun'-Shevchenkivs'kyi","UA.CK.KO",NA,"","Raion","District","","KorsunShevchenkiv"
13,240,"UKR","Ukraine",1,"Cherkasy",13,"Lysians'kyi","UA.CK.LY",NA,"","Raion","District","",""
14,240,"UKR","Ukraine",1,"Cherkasy",14,"Man'kivs'kyi","UA.CK.MA",NA,"","Raion","District","","Mankivskyi"
