"Розподіл населення за національністю та рідною мовою по містах"
"районного значення (осіб) - Регіон, Національність, Рік , Вказали у"
"якості рідної мову"

" "	" "	"2001(05.12)"	" "	" "
" "	" "	"мову своєї національності"	"українську"	"російську"
"м. Алупка"
" "	"українці"	816	x	1545
" "	"росіяни"	5643	...	x
"м. Бахчисарай"
" "	"українці"	1622	x	2900
" "	"росіяни"	16088	33	x
"м. Білогірськ"
" "	"українці"	1367	x	937
" "	"росіяни"	10307	...	x
"м. Старий Крим"
" "	"українці"	511	x	506
" "	"росіяни"	5345	...	x
"м. Щолкіне"
" "	"українці"	1067	x	2020
" "	"росіяни"	6633	...	x
"м. Бар"
" "	"українці"	16018	x	45
" "	"росіяни"	563	181	x
"м. Бершадь"
" "	"українці"	11719	x	48
" "	"росіяни"	1039	145	x
"м. Гайсин"
" "	"українці"	23231	x	337
" "	"росіяни"	1239	345	x
"м. Іллінці"
" "	"українці"	10725	x	13
" "	"росіяни"	168	68	x
"м. Калинівка"
" "	"українці"	18705	x	89
" "	"росіяни"	649	161	x
"м. Липовець"
" "	"українці"	9075	x	-
" "	"росіяни"	123	53	x
"м. Немирів"
" "	"українці"	11126	x	10
" "	"росіяни"	168	62	x
"м. Погребище"
" "	"українці"	10460	x	...
" "	"росіяни"	108	39	x
"м. Тульчин"
" "	"українці"	14578	x	127
" "	"росіяни"	623	179	x
"м. Гнівань"
" "	"українці"	12065	x	49
" "	"росіяни"	358	159	x
"м. Шаргород"
" "	"українці"	6712	x	21
" "	"росіяни"	72	28	x
"м. Ямпіль"
" "	"українці"	11017	x	24
" "	"росіяни"	304	53	x
"м. Устилуг"
" "	"українці"	2202	x	...
" "	"росіяни"	30	19	x
"м. Горохів"
" "	"українці"	8679	x	...
" "	"росіяни"	104	23	x
"м. Берестечко"
" "	"українці"	1813	x	-
" "	"росіяни"	27	...	x
"м. Камінь-Каширський"
" "	"українці"	10470	x	...
" "	"росіяни"	75	27	x
"м. Ківерці"
" "	"українці"	15886	x	38
" "	"росіяни"	386	78	x
"м. Любомль"
" "	"українці"	10024	x	10
" "	"росіяни"	146	31	x
"м. Рожище"
" "	"українці"	13201	x	13
" "	"росіяни"	156	52	x
"м. Інгулець"
" "	"українці"	29506	x	2470
" "	"росіяни"	5566	615	x
"м. Апостолове"
" "	"українці"	14090	x	131
" "	"росіяни"	1252	280	x
"м. Зеленодольськ"
" "	"українці"	10509	x	1211
" "	"росіяни"	2702	198	x
"м. Верхньодніпровськ"
" "	"українці"	14596	x	315
" "	"росіяни"	1328	181	x
"м. Верхівцеве"
" "	"українці"	8605	x	304
" "	"росіяни"	875	128	x
"м. Підгородне"
" "	"українці"	15987	x	312
" "	"росіяни"	1022	204	x
"м. Перещепине"
" "	"українці"	8530	x	290
" "	"росіяни"	968	146	x
"м. П'ятихатки"
" "	"українці"	18172	x	288
" "	"росіяни"	1239	238	x
"м. Моспине"
" "	"українці"	714	x	4740
" "	"росіяни"	6016	24	x
"м. Соледар"
" "	"українці"	7719	x	3115
" "	"росіяни"	1974	159	x
"м. Часів Яр"
" "	"українці"	8469	x	3790
" "	"росіяни"	3833	265	x
