Name,Ukrainian,Russian,Notes,prev_name,Whole population
simferopolska,6.35,85.82,,SIMFEROPOL (miskrada),358108.0
ALUSHTYNSKA,9.67,83.68,,ALUSHTA (miskrada),52215.0
dzhankoiska,7.6,83.14,,m. DZHANKOI,42861.0
ievpatoriiska,8.73,83.69,,YEVPATORIIA (miskrada),117565.0
kerchenska,5.27,91.34,,m. KERCH,158165.0
KRASNOPEREKOPSK,16.48,79.62,,m. KRASNOPEREKOPSK,30902.0
sakska,8.87,84.26,,m. SAKY,28522.0
ARMIANSK,16.9,78.52,,ARMIANSK (miskrada),26867.0
feodosiiska,7.35,87.32,,FEODOSIIA (miskrada),108788.0
sudatska,8.42,71.45,,SUDAK (miskrada),29448.0
ialtynska,10.12,86.79,,YALTA (miskrada),139584.0
BAKHCHYSARAISKYI,8.21,69.3,,BAKHCHYSARAISKYI RAION,92542.0
BILOHIRSKYI,7.92,60.43,,BILOHIRSKYI RAION,66458.0
BILOHIRSKYI,7.92,60.43,,BILOHIRSKYI RAION,31707.0
DZHANKOISKYI,15.84,62.04,,DZHANKOISKYI RAION,82328.0
KIROVSKYI,8.38,64.18,,KIROVSKYI RAION,58016.0
KRASNOHVARDIISKYI,11.94,69.42,,KRASNOHVARDIISKYI RAION,93782.0
KRASNOPEREKOPSKYI,26.78,53.26,,KRASNOPEREKOPSKYI RAION,31843.0
LENINSKYI,10.57,70.39,,LENINSKYI RAION,69629.0
NYZHNOHIRSKYI,10.47,72.72,,NYZHNOHIRSKYI RAION,56976.0
PERVOMAISKYI,19.27,58.44,,PERVOMAISKYI RAION,40367.0
PERVOMAISKYI,19.27,58.44,,PERVOMAISKYI RAION,37203.0
PERVOMAISKYI,19.27,58.44,,PERVOMAISKYI RAION,19999.0
ROZDOLNENSKYI,20.84,63.97,,ROZDOLNENSKYI RAION,37185.0
SAKSKYI,16.91,64.48,,SAKSKYI RAION,80964.0
SIMFEROPOLSKYI,9.62,66.95,,SIMFEROPOLSKYI RAION,149253.0
SOVIETSKYI,10.38,64.37,,SOVIETSKYI RAION,37576.0
CHORNOMORSKYI,14.81,70.94,,CHORNOMORSKYI RAION,34112.0
vinnytska,84.73,14.36,,m. VINNYTSIA,354639.0
zhmerynska,90.81,8.51,,m. ZHMERYNKA,37073.0
mohyliv-podilska,92.31,7.01,,MOHYLIV-PODILSKYI (miskrada),32513.0
KOZIATYN,94.88,4.76,,KOZIATYN (miskrada),27155.0
ladyzhynska,88.35,11.25,,LADYZHYN (miskrada),23419.0
khmelnytska,97.12,2.59,,m. KHMILNYK,25181.0
BARSKYI,97.4,2.36,,BARSKYI RAION,62239.0
BERSHADSKYI,97.17,2.48,,BERSHADSKYI RAION,71310.0
VINNYTSKYI,97.57,2.04,,VINNYTSKYI RAION,73430.0
HAISYNSKYI,96.28,3.46,,HAISYNSKYI RAION,64732.0
ZHMERYNSKYI,97.67,2.06,,ZHMERYNSKYI RAION,44136.0
ILLINETSKYI,98.1,1.35,,ILLINETSKYI RAION,42519.0
KOZIATYNSKYI,98.33,1.25,,KOZIATYNSKYI RAION,47788.0
KALYNIVSKYI,97.75,1.97,,KALYNIVSKYI RAION,64936.0
KRYZHOPILSKYI,98.78,0.92,,KRYZHOPILSKYI RAION,40870.0
LYPOVETSKYI,98.78,1.08,,LYPOVETSKYI RAION,44194.0
LITYNSKYI,98.5,1.35,,LITYNSKYI RAION,42252.0
